msn,gtin,identifierExists,customLabel2,customLabel3,customLabel4,promotionId,isGoogleActive,isFacebookActive,isCriteoActive,availability
MSN153VN03EYK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN03XYK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN03ZYK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN060JK3,,False,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN06GJK3,,FALSE,activated,super low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN06PYK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN06YJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN0G8YK3,8903392002039,TRUE,activated,new,Essential,NOV125,0,0,0,In Stock
MSN153VN0GYYK3,8903392001124,TRUE,activated,high,Essential,,0,0,0,In Stock
MSN153VN0LNYK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN0LPYK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN0LVYK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN0M0JK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN0M7JK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN0MGJK3,,FALSE,activated,super low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN0MOYK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN0MPYK3,,FALSE,activated,super low,Non_Essential,,0,0,0,In Stock
MSN153VN0MQJK3,,False,activated,medium,Non_Essential,,0,0,0,Out Of Stock
MSN153VN0MVYK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN0N0JK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN0NOYK3,,FALSE,activated,super low,Non_Essential,,0,0,0,In Stock
MSN153VN0NQJK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN0NYJK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN0P1YK3,,FALSE,activated,new,Essential,NOV125,0,0,0,Out Of Stock
MSN153VN0P3YK3,,FALSE,activated,low,Essential,NOV125,0,0,0,Out Of Stock
MSN153VN0P4YK3,,FALSE,activated,new,Essential,NOV125,0,0,0,Out Of Stock
MSN153VN28ZXK3,,False,activated,High,Non_Essential,,0,0,0,In Stock
MSN153VN2J3YK3,,FALSE,activated,low,SP>2500,NOV125,1,1,1,In Stock
MSN153VN2JJYK3,,FALSE,activated,low,Non_Essential,NOV125,0,0,0,In Stock
MSN153VN2MOLK3,,FALSE,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VN2NJLK3,8908014578022,TRUE,activated,high,Non_Essential,,1,1,1,In Stock
MSN153VN2P3LK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN2P4LK3,,TRUE,activated,Low,Non_Essential,,1,1,1,Out Of Stock
MSN153VN2PJLK3,,TRUE,activated,High,Non_Essential,,1,1,1,In Stock
MSN153VN6JWXK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN6Q8LK3,,TRUE,activated,High,Non_Essential,,1,1,1,In Stock
MSN153VN6QYLK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN716JK3,3606480989155,TRUE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN71EYK3,89060719201263,TRUE,activated,new,Essential,NOV125,1,1,1,In Stock
MSN153VN71MJK3,3606481277480,TRUE,activated,low,Non_Essential,NOV125,0,0,0,In Stock
MSN153VN71NJK3,3606489548377,TRUE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN71VJK3,,TRUE,activated,new,Non_Essential,NOV125,1,1,1,In Stock
MSN153VN7D2YK3,,FALSE,activated,low,Non_Essential,NOV125,0,0,0,Out Of Stock
MSN153VN7GRJK3,,FALSE,activated,low,Essential,NOV125,0,1,1,In Stock
MSN153VN812JK3,,TRUE,activated,New,SP>2500,NOV125,0,0,0,In Stock
MSN153VN81JYK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN81WJK3,,False,activated,medium,Non_Essential,,0,0,0,In Stock
MSN153VN832JK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN833YK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN83RYK3,,FALSE,activated,high,Non_Essential,,0,0,0,In Stock
MSN153VN83XYK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN844YK3,,FALSE,activated,new,UtilitySuper,,0,0,0,Out Of Stock
MSN153VN84RYK3,,FALSE,activated,medium,UtilitySuper,,0,0,0,In Stock
MSN153VN84XYK3,,FALSE,activated,Ultra High,UtilitySuper,,0,0,0,In Stock
MSN153VN84ZYK3,,TRUE,activated,High,Non_Essential,1,1,1,1,Out Of Stock
MSN153VN8J2JK3,,FALSE,activated,low,Non_Essential,,0,0,0,Out Of Stock
MSN153VN8J3YK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN8JJYK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN8M6YK3,,no,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VN8O8JK3,,TRUE,activated,Low,Medserve,,1,1,1,Out Of Stock
MSN153VN8PLXK3,,TRUE,activated,low,Non_Essential,,1,0,1,In Stock
MSN153VN8PPYK3,,FALSE,activated,high,Non_Essential,NOV125,1,1,1,In Stock
MSN153VN8XXYK3,,TRUE,activated,super low,Essential,,1,1,1,Out Of Stock
MSN153VND06YK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VND0DJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VND0EJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VND0LYK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VND0MYK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VND0NYK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VND0XJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VND0ZJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VND16JK3,,TRUE,activated,New,SP>2500,NOV125,0,0,0,In Stock
MSN153VND17YK3,,TRUE,activated,New,SP>2500,NOV125,0,0,0,In Stock
MSN153VND1DYK3,,TRUE,activated,New,SP>2500,NOV125,0,0,0,In Stock
MSN153VND1EYK3,,TRUE,activated,New,Non_Essential,NOV125,0,0,0,In Stock
MSN153VND1NJK3,,TRUE,activated,New,SP>2500,NOV125,0,0,0,In Stock
MSN153VND1PJK3,,TRUE,activated,New,SP>2500,NOV125,0,0,0,In Stock
MSN153VND1VJK3,,TRUE,activated,New,SP>2500,NOV125,0,0,0,In Stock
MSN153VND1ZYK3,,TRUE,activated,New,SP>2500,NOV125,0,0,0,In Stock
MSN153VND2VYK3,,TRUE,activated,Medium,Resist Plus,,1,1,1,In Stock
MSN153VND37YK3,,TRUE,activated,Low,Essential,,1,1,1,Out Of Stock
MSN153VNDG6YK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNDGEJK3,,FALSE,activated,low,Non_Essential,,0,0,0,In Stock
MSN153VNDGLYK3,,FALSE,activated,super low,Non_Essential,,0,0,0,In Stock
MSN153VNDGMYK3,,FALSE,activated,super low,Non_Essential,,0,0,0,In Stock
